,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
リンクウィズ株式会社,Webアプリ・サービス運営,,静岡県,静岡県浜松市中央区篠ケ瀬町１０４４番地の２,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://linkwiz.co.jp/company/outline/,https://linkwiz.co.jp/document/whitepaper-download-form/,053-401-3450,contact@linkwiz.co.jp,,,送信成功,2026/07/16,,
株式会社レスラク,Webアプリ・サービス運営,,東京都,東京都渋谷区神宮前４丁目３番１５号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://www.resraku.jp/company.html,https://www.resraku.jp/contact.html,03-6721-0678,info@resraku.jp,,,送信成功,2026/07/16,,
コグラフ株式会社,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,ITコンサル",東京都,東京都品川区西五反田７丁目２２番１７号ＴＯＣビル１０階,2: 10人以上~20人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.co-graph.com/,http://co-graph.com/contact,,,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社オンリーストーリー,Webアプリ・サービス運営,"広告制作,その他広告・制作",東京都,東京都港区赤坂１丁目１４番１４号第３５興和ビル５１５,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://onlystory.co.jp/pages/company_new,https://onlystory.co.jp/contacts/new,03-6821-7872,info@onlystory.co.jp,,,送信成功,2026/07/16,,
株式会社ハローリンク,Webアプリ・サービス運営,求人媒体運営・求人情報誌出版,新潟県,新潟県柏崎市荒浜２丁目１２番４３号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.hellolink.co.jp/company/,https://www.hellolink.co.jp/contact/,0257-35-5432,,,,送信成功,2026/07/16,,
株式会社ビーキャップ,クラウド系/SaaS/ASPサービス,,東京都,東京都港区虎ノ門４丁目３番１号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://www.beacapp.co.jp/,,,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,このサイトにアクセスできません
株式会社ＴＶＴ,ゲーム開発,,東京都,東京都渋谷区桜丘町２３番１７号シティコート桜丘４０８,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://tvt.jp/company/,,,,,,送信成功,2026/07/16,,
リース株式会社,クラウド系/SaaS/ASPサービス,"Webアプリ・サービス運営,その他不動産",東京都,東京都新宿区西新宿７丁目９番１６号西新宿メトロビル６階,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://rease.co.jp/company/,,,,,,送信成功,2026/07/16,,
株式会社Ｎｅｘｔａｔ,Webアプリ・サービス運営,デザイン,京都府,京都府京都市下京区北町１８３烏丸六条ビル３Ｆ,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://nextat.co.jp/company,http://nextat.co.jp/contact/,075-744-6842,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
クアドラソフトウェア株式会社,ゲーム開発,デザイン,大阪府,大阪府大阪市北区梅田２丁目６番２０号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://qdsoft.co.jp/,http://qdsoft.co.jp/contact/,06-6344-7270,,,,送信成功,2026/07/16,,
メンロ・セキュリティ・ジャパン株式会社,Webアプリ・サービス運営,,東京都,東京都港区西新橋３丁目４番２号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.menlosecurity.com/ja-jp,,,,,,送信不可,, お問い合わせフォーム無し,
ＦＩＲＳＴＱＡ　ＳＹＳＴＥＭＳ株式会社,クラウド系/SaaS/ASPサービス,"Webアプリ・サービス運営,ITインフラストラクチャー",神奈川県,神奈川県横浜市中区山下町２３番地日土地山下町ビル２階,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,http://firstqa.com,,045-226-4366,info@firstqa.com,,,送信不可,, お問い合わせフォーム無し,
株式会社ＪＵＳＣＯＭ,Webアプリ・サービス運営,"情報セキュリティ,機械設計,ITインフラストラクチャー,その他機械関連サービス",福岡県,福岡県北九州市小倉北区馬借１丁目９番８－２５０２号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.juscom.jp,http://www.juscom.jp/conts/contact.php,093-513-6181,,,,送信不可,, お問い合わせフォーム無し,電話のみ
株式会社ｅｍｏｔｉｖＥ,Webアプリ・サービス運営,,東京都,東京都港区新橋２丁目１６番１号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.emotive.jp/,https://www.emotive.jp/contact/,03-6459-0821,info@emotive.jp,,,送信成功,2026/07/16,,
株式会社Ｍａｎｊｕｕ,ゲーム開発,スマホアプリ,東京都,東京都千代田区神田練塀町３００番３階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.manjuu.com/jp,,,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,この接続ではプライバシーが保護されません
株式会社ＳＰＡＲＫＲＡＦＴ,Webアプリ・サービス運営,"ゲーム・アニメデザイン,その他ゲーム",東京都,東京都台東区台東４丁目１８番７号シモジンビルディング３Ｆ,2: 10人以上~20人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.sparkraft.jp/,,03-5816-3156,info@sparkraft.jp,,,送信成功,2026/07/16,,
ＲＡＴＩＯ株式会社,Webアプリ・サービス運営,,沖縄県,沖縄県うるま市字州崎１４番地７,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,http://ratio.jp/?page_id=43,,03-6451-0370,info@ratio.jp,,,送信成功,2026/07/16,,
フェニックス・ゲームプロダクション合同会社,ゲーム開発,,大阪府,大阪府大阪市福島区福島７丁目３番１８号第一住建福島駅前ビル３階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.phoenixgp.co.jp/,,,,,,送信成功,2026/07/16,,
株式会社ＡｐｐＢＡＳＥ,ゲーム開発,Webアプリ・サービス運営,大阪府,大阪府大阪市天王寺区味原町１３番９号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.appbase.co.jp/#!page1,http://www.appbase.co.jp/#!page6,03-5669-0724,,,,送信成功,2026/07/16,,
株式会社ホワイトホールラボ,Webアプリ・サービス運営,,愛知県,愛知県名古屋市千種区今池５丁目１番５号名古屋センタープラザビル１１階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.whiteholelab.jp/company/,,052-731-8080,,,,送信成功,2026/07/16,,
株式会社シムックスイニシアティブ,クラウド系/SaaS/ASPサービス,その他コンサル,東京都,東京都港区浜松町１丁目３０番５号浜松町スクエア１０階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.cimx-initiative.com/,,03-6402-2650,,,,送信成功,2026/07/16,,
Ｍｏｍｅｎｔｕｍ株式会社,Webアプリ・サービス運営,"Webマーケコンサル,情報セキュリティ",東京都,東京都港区虎ノ門２丁目１０番１号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.m0mentum.co.jp/company/,https://campaign.m0mentum.co.jp/contact,03-6365-1970,info@m0mentum.co.jp,,,送信成功,2026/07/16,,
株式会社ａｍｉｃａ,クラウド系/SaaS/ASPサービス,,東京都,東京都新宿区西新宿６丁目２番３号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://amica-co.jp,,,,,,送信不可,,メールに遷移・Googleフォーム,
ＮＴＴレゾナントテクノロジー株式会社,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,その他製造",東京都,東京都千代田区大手町１丁目５番１号,2: 10人以上~20人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://www.nttr-tech.co.jp/index.html,,03-3525-8977,contact@nttr-tech.co.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社ファーストディグリーソフトウェア,Webアプリ・サービス運営,"スマホアプリ,Webマーケコンサル,広告制作,経営コンサル,デザイン,CM制作・映像制作,Web制作,人材派遣,ソーシャルゲーム・スマホゲーム",東京都,東京都品川区東五反田３丁目１７番４号糟谷ビル２階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://fdsjp.com/,http://fdsjp.com/contact/index.html,050-5050-2520,info@fdsjp.com,,,送信成功,2026/07/16,,
ＲＹＤＥ株式会社,Webアプリ・サービス運営,,東京都,東京都渋谷区代官山町２０番２３号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://ryde-inc.jp/about,https://form.run/@ryde-pass-contact,,inquiry@ryde-inc.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,
ＯＲＴＨＯＲＥＢＩＲＴＨ株式会社,医療機器,,神奈川県,神奈川県横浜市都筑区茅ケ崎東３丁目１７番４３号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://orthorebirth.com/jp/about/company/,,045-532-3650,clbvf@orthorebirth.com,,,送信成功,2026/07/16,,
医療法人社団輝,Webアプリ・サービス運営,,千葉県,千葉県千葉市中央区長洲２丁目２０番１７号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://cordially.jp/,,,,,,送信不可,, お問い合わせフォーム無し,
スパイラルセンス株式会社,ゲーム開発,Webアプリ・サービス運営,東京都,東京都千代田区九段南２丁目５番１号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://spiralsense.jp/,http://spiralsense.jp/inquiry/index.php,03-6434-9335,info@spiralsense.jp,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,ご希望ページへアクセスする権限がありません。
ＮＥＲＤ株式会社,Webアプリ・サービス運営,,東京都,東京都墨田区向島１丁目５番９号ブリシア隅田公園５０３,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://nerd.co.jp/,,,,,,送信成功,2026/07/16,,
株式会社バックテック,Webアプリ・サービス運営,,東京都,東京都港区芝浦３丁目１４番１８号キャナルスクエア芝浦６階,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://backtech.co.jp/company/,http://www.backtech.co.jp/contact/,,info@backtech.co.jp,,,送信不可,,送信ボタンを押すことができない・エラー,メッセージの送信に失敗しました。後でまたお試しください。
株式会社Ｓｒｕｓｈ,クラウド系/SaaS/ASPサービス,その他IT,東京都,東京都品川区西五反田８丁目４番１３号五反田ＪＰビルディング２Ｆｃｏ－ｌａｂ五反田ｗｉｔｈＪＰＲＥ,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://www.srush.co.jp/,https://www.srush.co.jp/contact/,,contact@srush.co.jp,,,送信成功,2026/07/16,,
Ｒｅｓｃａｌｅ　Ｊａｐａｎ株式会社,Webアプリ・サービス運営,ITコンサル,東京都,東京都千代田区大手町１丁目６番１号大手町ビル６階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.rescale.com/jp,https://rescale.com/ja/Rescale-Support/,03-6427-2800,,,,送信成功,2026/07/16,,
ディライトワークス株式会社,ゲーム開発,,東京都,東京都港区六本木６丁目１０番１号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://delightworks.co.jp/company/,https://business.form-mailer.jp/fms/9ad657c782040,,,,,送信成功,2026/07/16,,
株式会社クリプラ,Webアプリ・サービス運営,"その他IT,その他医療・福祉",東京都,東京都新宿区西新宿３丁目２０番２号東京オペラシティタワー,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://clipla.jp/company/,https://clipla.jp/contact/,,privacy@clinical-platform.com,,,送信成功,2026/07/16,,
株式会社エミューズ,Webアプリ・サービス運営,"スマホアプリ,ITコンサル,Web制作,Webアプリ・サービス運営,ソーシャルゲーム・スマホゲーム",千葉県,千葉県市川市相之川１丁目２６番５号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.emyus.co.jp/company/,http://www.emyus.co.jp/contact/,047-369-6021,biz@emyus.jp,,,送信成功,2026/07/16,,
株式会社はしばコーポレーション,Webアプリ・サービス運営,,長野県,長野県伊那市坂下３３１２番地１,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://hashiba-corp.com/,https://hashiba-corp.com/contact/,,,,,送信成功,2026/07/16,,
ＴＲＡＰＯＬ株式会社,Webアプリ・サービス運営,海外旅行・海外留学,大阪府,大阪府大阪市北区中之島３丁目６番１６号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://trapol.jp/company,https://trapol.jp/contact/,,info@trapol.co.jp,,,送信成功,2026/07/16,,
株式会社ビースポーク,Webアプリ・サービス運営,国内旅行,東京都,東京都渋谷区渋谷２丁目２１番１号渋谷ヒカリエ８階ＭＯＶ,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://www.be-spoke.io/about,http://bit.ly/2KMFgMy,,info@be-spoke.io,,,送信成功,2026/07/16,,
株式会社ｏｔｔａ,Webアプリ・サービス運営,Webアプリ・サービス運営,福岡県,福岡県福岡市中央区天神４丁目４番１１号天神ショッパーズ福岡８Ｆ,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://otta.co.jp/corporate/,https://otta.co.jp/introduction-contact/,092-791-3811,info@otta.me,,,送信成功,2026/07/16,,
株式会社カーリン,Webアプリ・サービス運営,,東京都,東京都渋谷区神宮前３丁目２７－１５,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,http://carlin.co.jp/,https://carlin.co.jp/,,,,,送信不可,, お問い合わせフォーム無し,
Ａｎｙｆｌｏｗ株式会社,Webアプリ・サービス運営,,東京都,東京都港区新橋２丁目２０番１５号新橋駅前ビル１号館６階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://anyflow.jp/corp/,https://anyflow.jp/sales-form,,,,,送信成功,2026/07/16,,
トンガルマン株式会社,Webアプリ・サービス運営,"コンテンツ制作,その他IT,その他マスコミ・出版",大阪府,大阪府大阪市北区梅田２丁目５番６号,2: 10人以上~20人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://tongullman.co.jp/index.php,https://tongullman.co.jp/contact/,06-6131-7266,info@tongullman.co.jp,,,送信成功,2026/07/16,,
株式会社ディースピリット,Webアプリ・サービス運営,"家・事業所向け設備,その他電気設備工事,ITインフラストラクチャー,Web制作,その他通信",愛媛県,愛媛県松山市来住町１４３０番地１,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://dspirit.jp/company/,https://dspirit.jp/contact/,089-948-4100,,,,送信成功,2026/07/16,,
アライズイノベーション株式会社,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,ITコンサル",東京都,東京都中央区勝どき３丁目１３番１号フォアフロントタワーⅡ,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://ariseinnovation.co.jp/,https://www.ariseinnovation.co.jp/company/contact/,03-5534-9967,info@ariseinnovation.co.jp,,,送信成功,2026/07/16,,
株式会社イクスイ,Webアプリ・サービス運営,,東京都,東京都港区新橋５丁目２２番６号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.ixui.co.jp/company.html,,03-5473-3933,,,,送信不可,, お問い合わせフォーム無し,
株式会社ＶＬＣセキュリティラボ,情報セキュリティ,,東京都,東京都港区虎ノ門４丁目１番４０号江戸見坂森ビル,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://celab.co.jp/about-us/,https://vlcsecurity.com/contact/sales/,,,,,送信不可,,必須項目の入力ができない（情報不足など）,
ムーバクラウド株式会社,クラウド系/SaaS/ASPサービス,"その他IT,Webアプリ・サービス運営,ITインフラストラクチャー",東京都,東京都江東区有明１丁目４番２０号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.movacloud.co.jp/,,03-6869-7889,movacloud-support@movacloud.co.jp,,,送信成功,2026/07/16,,
株式会社スタンダードファクトリー,Webアプリ・サービス運営,"ITインフラストラクチャー,デザイン",東京都,東京都渋谷区桜丘町２９番１２号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.standardfactory.jp/company/,https://www.standardfactory.jp/inquiry/,03-3461-5255,,,,送信成功,2026/07/16,,
株式会社トラストシステムソリューションズ,Webアプリ・サービス運営,"人材派遣,人材紹介",大阪府,大阪府大阪市西区立売堀１丁目８番１号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,http://t-ssol.jp/corp,https://t-ssol.jp/contact/,06-6556-6561,info@t-ssol.jp,,,送信不可,,URL・記号を含むことができない,
株式会社ＭＩＣＨＩＲＵ,Webアプリ・サービス運営,その他IT,東京都,東京都渋谷区恵比寿１丁目１５－９,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://michiru.co.jp/company/,https://michiru.co.jp/contact/,,info@michiru.co.jp,,,送信成功,2026/07/17,,
株式会社ＧｅＮＥＥ,Webアプリ・サービス運営,ITコンサル,東京都,東京都港区六本木１丁目４番５号アークヒルズサウスタワー,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://genee.jp,https://genee.jp/contact/,,,,,送信成功,2026/07/17,,
株式会社アコードセブン,ゲーム開発,"その他マスコミ・出版,動画制作・CG制作",京都府,京都府京都市下京区柿本町５７９,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.accordseven.co.jp/,https://www.accordseven.co.jp/contact/,075-744-0786,contact@accordseven.co.jp,,,送信成功,2026/07/17,,
株式会社デジタルアセットマーケッツ,クラウド系/SaaS/ASPサービス,,東京都,東京都千代田区一番町１８番地,2: 10人以上~20人未満,3: 10億円以上~50億円未満,2: 3億円以上~10億円未満,https://corp.digiasset.co.jp/,https://corp.digiasset.co.jp/contact,,,,,送信成功,2026/07/17,,
株式会社ナインブロック,Webアプリ・サービス運営,eコマース,大阪府,大阪府大阪市西区靱本町１丁目９番１８号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://9-block.jp,https://9-block.jp/,06-6271-1070,,,,送信不可,, お問い合わせフォーム無し,
ミラクルラボ株式会社,医療機器,その他医療・福祉,大阪府,大阪府大阪市平野区長吉長原東１丁目７番９号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://miraclelabo.com/company/,https://miraclelabo.com/contact/,06-6701-4188,,,,送信成功,2026/07/17,,
株式会社ネクストキー,Webアプリ・サービス運営,"eコマース,ITインフラストラクチャー",東京都,東京都中央区入船２丁目８番８号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.nextkey.co.jp/about,https://www.nextkey.co.jp/contacts,03-5542-5477,info@nextkey.co.jp,,,送信成功,2026/07/17,,
Ａｃｃｕｖｅｒ株式会社,Webアプリ・サービス運営,"計測機器・センサー,その他通信",東京都,東京都港区西新橋２丁目３５番２号ＹＰ虎ノ門９階,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://accuver.jp/,https://accuver.jp/web-contact/,03-6430-2580,,,,送信成功,2026/07/17,,
ナオ株式会社,Webアプリ・サービス運営,"経営コンサル,デジタル系コンテンツ,レンタルスペース",東京都,東京都中野区中央５丁目４番２２号ＡＲＵＪＩビル７階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://naoco.tv/company/,https://naoco.tv/contact,, ,,,送信成功,2026/07/17,,
株式会社フォーカス,Webアプリ・サービス運営,"産業用ロボット,製造業コンサル,その他コンサル",栃木県,栃木県宇都宮市松が峰１丁目３番１６号グラン宇都宮７０３,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://focus88.co.jp/company,https://focus88.co.jp/contact,,,,,送信成功,2026/07/17,,
株式会社ヘプタゴン,クラウド系/SaaS/ASPサービス,,青森県,青森県三沢市大字三沢字堀口１６４－３３６,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://heptagon.co.jp/company/overview/,https://heptagon.co.jp/contact/,,info@heptagon.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,
エール株式会社,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,東京都,東京都品川区東五反田１丁目１０番８号五反田Ｓ＆Ｌビル４階,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.yell4u.jp/company-profile,https://www.yell4u.jp/contact,03-6455-3837,,,,送信成功,2026/07/17,,
株式会社トイディア,ゲーム開発,Webアプリ・サービス運営,東京都,東京都千代田区外神田６丁目１５番９号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,http://www.toydea.com/,https://www.toydea.com/contact/,,,,,送信成功,2026/07/17,,
株式会社グリーンアライアンス,情報セキュリティ,,岩手県,岩手県盛岡市本宮２丁目１６番１号小泉産業ビル２階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://greenalliance-inc.com/,https://greenalliance-inc.com/contact/,,,,,送信成功,2026/07/17,,
株式会社リベルタス・アドバイザリー,Webアプリ・サービス運営,,福岡県,福岡県福岡市博多区博多駅前２丁目２０番１５号第７岡部ビル５階,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.libertas-advisory.co.jp/company/,https://www.libertas-advisory.co.jp/contact/,092-409-7581,,,,送信成功,2026/07/17,,
株式会社ウィルビー,Webアプリ・サービス運営,"その他人材,その他コンサル,求人媒体運営・求人情報誌出版",東京都,東京都台東区浅草５丁目６６－５,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://willb.co.jp/company/outline/,https://willb.co.jp/contact/,03-5849-4295,support@willb.co.jp,,,送信成功,2026/07/17,,
株式会社デジプレート,Webアプリ・サービス運営,"その他IT,デザイン,Webマーケコンサル",兵庫県,兵庫県西宮市産所町１５番１３号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.digiplate.co.jp/,https://www.digiplate.co.jp/sub/contact.html,0798-38-2300,,,,送信成功,2026/07/17,,
ケーディークロート株式会社,医療機器,"電子部品,計測機器・センサー,その他製造,試験機",東京都,東京都大田区大森西２丁目１７番１８号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.kd-9610.jp/,https://www.kd-9610.jp/inquiry/,03-3763-9610,,,,送信成功,2026/07/17,,
ウィズハッピーシステム株式会社,Webアプリ・サービス運営,"ITコンサル,その他通信",大阪府,大阪府大阪市中央区博労町１丁目９－８堺筋ＭＳ第２ビル８０２号室,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.w-hs.jp/summary.html,http://www.w-hs.jp/summary.html,06-6224-0693,info@w-hs.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社京王歯研,医療機器,,群馬県,群馬県高崎市並榎町６３７番地８,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://www.keiou-shiken.com/,https://www.keiou-shiken.com/contact.php,027-327-7474,,,,送信成功,2026/07/17,,
株式会社ＣＴＵ,Webアプリ・サービス運営,"ソフトウェア販売,スマホアプリ,受託開発",大阪府,大阪府大阪市生野区巽中３丁目１３番２２号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.ctu.co.jp/index.html,https://www.ctu.co.jp/contact/,06-6534-5770,,,,送信成功,2026/07/17,,
株式会社クエイル,Webアプリ・サービス運営,"eコマース,Web制作",鹿児島県,鹿児島県鹿児島市上之園町２５番地４,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://quail.co.jp/,https://quail.co.jp/contact/,099-295-0284,info@quail.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ＥｘａＳｃａｌｅｒ,Webアプリ・サービス運営,,新潟県,新潟県長岡市表町４丁目３番地９,2: 10人以上~20人未満,3: 10億円以上~50億円未満,1: 1億円以上~3億円未満,http://www.exascaler.co.jp,https://www.pezy.co.jp/contact/,03-5577-3835,info@exascaler.co.jp,,,送信成功,2026/07/17,,
ジェイソル・メディカル株式会社,医療機器,"医療機器商社,製薬,受託製造,業務請負,研究・調査・リサーチ",東京都,東京都新宿区下落合２丁目５番１６号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://www.j-sol-medical.co.jp/company/aboutus/,https://www.j-sol-medical.co.jp/contact/,03-6914-4804,,,,送信不可,,文字数制限,
株式会社システムフリージア,Webアプリ・サービス運営,,東京都,東京都千代田区神田佐久間町１丁目８番２号第一阿部ビル,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.sys-freesia.co.jp/company/outline/,https://www.sys-freesia.co.jp/contact/,,,,,送信成功,2026/07/17,,
株式会社ＯＦＡ,Webアプリ・サービス運営,"ITインフラストラクチャー,人材派遣",大阪府,大阪府大阪市淀川区西中島４丁目７番２号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.ofa.co.jp/,https://www.ofa.co.jp/contact/,06-6101-1754,syseigyo@ofa.co.jp,,,送信成功,2026/07/17,,
会計監査確認センター合同会社,Webアプリ・サービス運営,,千葉県,千葉県千葉市美浜区中瀬２丁目６番地１,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://auditconfirmation.co.jp/company.html,https://auditconfirmation.co.jp/contact.html,,,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ヴィレッジ,Webアプリ・サービス運営,,東京都,東京都渋谷区神宮前２丁目２５番４号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://villageinc.co.jp/about/,https://villageinc.co.jp/contact/,,,,,送信不可,,メールに遷移・Googleフォーム,
株式会社ＴＯＤＯＲＯＫＩ,Webアプリ・サービス運営,,東京都,東京都渋谷区東１丁目２５番２号丸橋ビル４階,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://tdrk-inc.co.jp/,https://tdrk-inc.co.jp/page#contact_tag,,info@tdrk-inc.co.jp,,,送信成功,2026/07/17,,
障害者ドットコム株式会社,Webアプリ・サービス運営,,大阪府,大阪府大阪市城東区鴫野西４丁目１番３３号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://a-style.holdings/group/shogaisha-com/,https://a-style.holdings/contact/,06-6940-7739,,,,送信成功,2026/07/17,,
Ａｎｇｅｌｕｓ　Ｊａｐａｎ株式会社,医療機器,,大阪府,大阪府茨木市下穂積４丁目１３番２０６号,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://angelus-japan.co.jp/,https://angelus-japan.co.jp/contact/,072-657-7756,info@angelus-japan.co.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社Ｃｌｅａｒ,Webアプリ・サービス運営,デジタル系コンテンツ,東京都,東京都渋谷区渋谷１丁目１番１６号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://clear-inc.net/,https://clear-inc.net/contact,03-6455-3496,info@clear-inc.net,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社第二章,Webアプリ・サービス運営,,東京都,東京都渋谷区笹塚１丁目５５番７号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.dainisyo.com/company/companyoutline/,https://www.dainisyo.com/con_tact/,03-5352-7772,,,,送信成功,2026/07/17,,
